date,CO2
2022-12-03,418.3853969625
2022-12-04,419.716899
2022-12-05,402.8835897446809
2022-12-06,399.0919189230769
2022-12-08,404.51719979999996
2022-12-09,417.2643301173913
2022-12-10,422.93753660000004
2022-12-11,416.6551494754098
2022-12-12,400.260951799308
2022-12-13,414.0277001164384
2022-12-22,413.571747
2023-02-04,419.36639269512193
2023-02-05,402.49699628571426
2023-02-06,423.095599460371
2023-02-07,422.6602288809524
2023-02-08,421.8406805419847
2023-02-09,420.4642035617978
2023-02-10,420.7337871901663
2023-02-14,418.26412365116283
2023-02-15,420.8499328303571
2023-02-22,421.4863473913043
