date,CO2
2022-11-27,419.72585640701755
2022-11-30,417.6209852258064
2022-12-01,413.5587379625
2022-12-03,418.8877615609756
2022-12-04,422.2343976227848
2022-12-05,409.93108938541667
2022-12-06,408.8747750285714
2022-12-07,419.52666791208793
2022-12-08,410.562192417343
2022-12-09,407.4895119951378
2022-12-10,420.7885277838617
2022-12-11,411.98073014345994
2022-12-12,421.30069864325066
2022-12-13,413.2813349244373
2022-12-20,417.3406389033113
2022-12-21,416.65717996312367
2022-12-22,423.4585156065574
2022-12-23,403.3221695409836
2022-12-24,418.6775645271318
2022-12-25,407.9376704634147
2022-12-27,419.470871
2023-01-27,417.7246863546798
2023-01-28,417.3804225652174
2023-01-29,415.5636351061452
2023-02-01,420.2409156609337
2023-02-02,418.3101851329114
2023-02-03,420.3435906145833
2023-02-04,410.6868896666667
2023-02-05,414.1788201740707
2023-02-06,405.1137082352071
2023-02-07,415.58622902188864
2023-02-08,421.178751640509
2023-02-09,420.5008638109756
2023-02-10,417.1256939245
2023-02-14,421.48751868088345
2023-02-15,423.32451923469387
2023-02-22,421.3564150274314
2023-02-24,419.6575297941606
2023-02-26,409.7299041666667
2023-03-01,419.824341
2023-03-23,419.7805289008265
2023-03-24,422.181091
2023-03-25,420.14317416759775
