date,CO2
2022-12-05,419.62707807142857
2022-12-06,408.8747750285714
2022-12-08,405.9641714256927
2022-12-09,403.6556884450785
2022-12-10,421.5511109141791
2022-12-11,426.7746582
2022-12-12,417.53825904005254
2022-12-13,411.24700157832746
2022-12-20,415.71586258447485
2022-12-21,404.3142348589744
2022-12-22,405.05251717931037
2023-01-28,409.9573576976744
2023-02-01,416.73587590909096
2023-02-02,418.499023
2023-02-03,396.28522499999997
2023-02-04,421.92038587179485
2023-02-05,416.36323611494254
2023-02-06,416.98446913454546
2023-02-07,411.0436218
2023-02-08,407.7986201812227
2023-02-09,423.1709058244132
2023-02-14,418.29462364914286
2023-02-15,398.05683899999997
2023-02-22,416.6393915621622
2023-02-23,417.926331
2023-02-24,410.6424573361345
2023-02-25,412.066043825
2023-02-27,409.5539480416667
2023-03-24,422.181091
