date,CO2
2022-12-03,396.08667428571425
2022-12-04,417.6843710925926
2022-12-08,411.47559014285713
2022-12-09,408.36125666666663
2022-12-10,397.35281399999997
2022-12-11,407.8491314695341
2022-12-12,417.6938874063401
2022-12-21,404.0444047
2022-12-22,410.80610650000006
2023-01-28,417.709864
2023-01-29,418.1182505
2023-02-05,414.75637549374994
2023-02-06,420.3004605
2023-02-07,422.9194109827586
2023-02-08,430.248580875
2023-02-09,421.32002692000003
2023-02-10,409.1551554
2023-02-14,419.2889164517544
2023-02-15,410.78333299999997
2023-02-24,417.45297933333336
